Company,Symbol,Weight,Price
Dollar General Corporation,DG,0.179519,152.85
Norfolk Southern Corporation,NSC,0.17789,139.84
Sherwin-Williams Company,SHW,0.175979,426.52
Newmont Corporation,NEM,0.172451,46.51
Digital Realty Trust Inc.,DLR,0.170059,133.98
Raytheon Company,RTN,0.16981,122.63
Waste Management Inc.,WM,0.16854,88.25
Exelon Corporation,EXC,0.166606,33.42
Estee Lauder Companies Inc. Class A,EL,0.165701,153.33
Lam Research Corporation,LRCX,0.161805,222.22
Centene Corporation,CNC,0.161006,56.06
'Moody''s Corporation',MCO,0.160479,197.03
Walgreens Boots Alliance Inc,WBA,0.160288,43.08
Autodesk Inc.,ADSK,0.159822,138.75
ConocoPhillips,COP,0.157917,29.56
Analog Devices Inc.,ADI,0.154547,84.11
Roper Technologies Inc.,ROP,0.150884,292.35
Eaton Corp. Plc,ETN,0.150062,72.81
General Mills Inc.,GIS,0.149048,53.11
Sempra Energy,SRE,0.148865,103.57
Xcel Energy Inc.,XEL,0.147509,58.07
Ross Stores Inc.,ROST,0.146924,80.81
General Dynamics Corporation,GD,0.144398,127.27
SBA Communications Corp. Class A,SBAC,0.141986,257.37
Allstate Corporation,ALL,0.138858,86.52
Public Storage,PSA,0.138185,196.07
Electronic Arts Inc.,EA,0.136523,97.32
Emerson Electric Co.,EMR,0.135491,45.48
FedEx Corporation,FDX,0.134978,113.63
Bank of New York Mellon Corporation,BK,0.132076,32.55
WEC Energy Group Inc,WEC,0.128873,83.01
Kinder Morgan Inc Class P,KMI,0.125678,12.74
T-Mobile US Inc.,TMUS,0.12323,85.26
General Motors Company,GM,0.121792,19.27
Consolidated Edison Inc.,ED,0.12085,77.77
HP Inc.,HPQ,0.119998,14.84
Travelers Companies Inc.,TRV,0.119701,95.14
Cognizant Technology Solutions Corporation Class A,CTSH,0.118802,42.45
DuPont de Nemours Inc.,DD,0.11836,32.67
Eversource Energy,ES,0.118178,76.11
Aflac Incorporated,AFL,0.117371,31.82
MSCI Inc. Class A,MSCI,0.114231,270.76
IHS Markit Ltd.,INFO,0.11226,58.24
Kroger Co.,KR,0.112204,30.5
Constellation Brands Inc. Class A,STZ,0.111706,136.39
MetLife Inc.,MET,0.111662,27.93
Phillips 66,PSX,0.111314,49.43
HCA Healthcare Inc,HCA,0.1112,83.6
